OMNET-car[0] - SUMO-car[0]: -1308883068#1
OMNET-car[1] - SUMO-car[10]: -1308883069#2
OMNET-car[2] - SUMO-car[100]: 26540080#1
OMNET-car[3] - SUMO-car[101]: 26540080#1
OMNET-car[4] - SUMO-car[102]: 26540080#1
OMNET-car[5] - SUMO-car[103]: 26540080#1
OMNET-car[6] - SUMO-car[104]: 27778904
OMNET-car[7] - SUMO-car[105]: 27778904
OMNET-car[8] - SUMO-car[106]: 27778904
OMNET-car[9] - SUMO-car[107]: 27778904
OMNET-car[10] - SUMO-car[108]: 27781315#0
OMNET-car[11] - SUMO-car[109]: 27781315#0
OMNET-car[12] - SUMO-car[11]: -1308883069#3
OMNET-car[13] - SUMO-car[110]: 27781315#0
OMNET-car[14] - SUMO-car[111]: 27781315#0
OMNET-car[15] - SUMO-car[112]: 27781315#1
OMNET-car[16] - SUMO-car[113]: 27781315#1
OMNET-car[17] - SUMO-car[114]: 27781315#1
OMNET-car[18] - SUMO-car[115]: 27781315#1
OMNET-car[19] - SUMO-car[116]: 27781824#0
OMNET-car[20] - SUMO-car[117]: 27781824#0
OMNET-car[21] - SUMO-car[118]: 27781824#1
OMNET-car[22] - SUMO-car[119]: 27781824#1
OMNET-car[23] - SUMO-car[12]: -1308883069#3
OMNET-car[24] - SUMO-car[120]: 27781824#1
OMNET-car[25] - SUMO-car[121]: 27781824#1
OMNET-car[26] - SUMO-car[122]: 27781824#2
OMNET-car[27] - SUMO-car[123]: 27781824#2
OMNET-car[28] - SUMO-car[124]: 27781824#2
OMNET-car[29] - SUMO-car[125]: 27781824#2
OMNET-car[30] - SUMO-car[126]: 27781824#3
OMNET-car[31] - SUMO-car[127]: 27781824#3
OMNET-car[32] - SUMO-car[128]: 27781824#3
OMNET-car[33] - SUMO-car[129]: 27781824#3
OMNET-car[34] - SUMO-car[13]: -1308883069#3
OMNET-car[35] - SUMO-car[130]: 27781824#4
OMNET-car[36] - SUMO-car[131]: 27781824#4
OMNET-car[37] - SUMO-car[132]: 27781824#4
OMNET-car[38] - SUMO-car[133]: 27781824#4
OMNET-car[39] - SUMO-car[134]: 27781843#0
OMNET-car[40] - SUMO-car[135]: 27781843#0
OMNET-car[41] - SUMO-car[136]: 27781843#0
OMNET-car[42] - SUMO-car[137]: 27781843#0
OMNET-car[43] - SUMO-car[138]: 27781843#1
OMNET-car[44] - SUMO-car[139]: 27781843#1
OMNET-car[45] - SUMO-car[14]: -1308883069#3
OMNET-car[46] - SUMO-car[140]: 27781843#1
OMNET-car[47] - SUMO-car[141]: 27781843#1
OMNET-car[48] - SUMO-car[142]: 27781843#2
OMNET-car[49] - SUMO-car[144]: 27781843#3
OMNET-car[50] - SUMO-car[145]: 27781843#3
OMNET-car[51] - SUMO-car[146]: 27781843#3
OMNET-car[52] - SUMO-car[147]: 27781843#3
OMNET-car[53] - SUMO-car[148]: 27781878
OMNET-car[54] - SUMO-car[149]: 27781878
OMNET-car[55] - SUMO-car[15]: -1308883069#5
OMNET-car[56] - SUMO-car[150]: 27781878
OMNET-car[57] - SUMO-car[151]: 27781878
OMNET-car[58] - SUMO-car[152]: 27781952#0
OMNET-car[59] - SUMO-car[153]: 27781952#0
OMNET-car[60] - SUMO-car[154]: 27781952#0
OMNET-car[61] - SUMO-car[155]: 27781952#0
OMNET-car[62] - SUMO-car[156]: 27781952#1
OMNET-car[63] - SUMO-car[157]: 27781952#1
OMNET-car[64] - SUMO-car[158]: 27781952#1
OMNET-car[65] - SUMO-car[159]: 27781952#1
OMNET-car[66] - SUMO-car[16]: -1308883069#5
OMNET-car[67] - SUMO-car[160]: 27781952#2
OMNET-car[68] - SUMO-car[161]: 27781952#2
OMNET-car[69] - SUMO-car[162]: 27781952#2
OMNET-car[70] - SUMO-car[163]: 27781952#2
OMNET-car[71] - SUMO-car[164]: 27781952#3
OMNET-car[72] - SUMO-car[165]: 27781952#3
OMNET-car[73] - SUMO-car[166]: 27781952#3
OMNET-car[74] - SUMO-car[167]: 27781952#3
OMNET-car[75] - SUMO-car[168]: 27781952#4
OMNET-car[76] - SUMO-car[169]: 27781952#4
OMNET-car[77] - SUMO-car[17]: -1308883069#5
OMNET-car[78] - SUMO-car[170]: 27781952#4
OMNET-car[79] - SUMO-car[171]: 27781952#4
OMNET-car[80] - SUMO-car[172]: 27781952#5
OMNET-car[81] - SUMO-car[173]: 27781952#5
OMNET-car[82] - SUMO-car[174]: 27781952#5
OMNET-car[83] - SUMO-car[175]: 27781952#5
OMNET-car[84] - SUMO-car[176]: 27782011#0
OMNET-car[85] - SUMO-car[177]: 27782011#0
OMNET-car[86] - SUMO-car[178]: 27782011#0
OMNET-car[87] - SUMO-car[179]: 27782011#0
OMNET-car[88] - SUMO-car[18]: -1308883069#5
OMNET-car[89] - SUMO-car[180]: 27782011#1
OMNET-car[90] - SUMO-car[181]: 27782011#1
OMNET-car[91] - SUMO-car[182]: 27782011#1
OMNET-car[92] - SUMO-car[183]: 27782011#1
OMNET-car[93] - SUMO-car[184]: 27782011#4
OMNET-car[94] - SUMO-car[185]: 27782011#4
OMNET-car[95] - SUMO-car[186]: 27782011#4
OMNET-car[96] - SUMO-car[187]: 27782011#4
OMNET-car[97] - SUMO-car[188]: 27782022#1
OMNET-car[98] - SUMO-car[189]: 27782022#1
OMNET-car[99] - SUMO-car[19]: -138022926
OMNET-car[100] - SUMO-car[190]: 27782022#1
OMNET-car[101] - SUMO-car[191]: 27782022#1
OMNET-car[102] - SUMO-car[192]: 27782022#2
OMNET-car[103] - SUMO-car[193]: 27782022#2
OMNET-car[104] - SUMO-car[194]: 27782022#2
OMNET-car[105] - SUMO-car[195]: 27782022#2
OMNET-car[106] - SUMO-car[196]: 27782022#4
OMNET-car[107] - SUMO-car[197]: 27782022#4
OMNET-car[108] - SUMO-car[198]: 27782022#4
OMNET-car[109] - SUMO-car[199]: 27782022#4
OMNET-car[110] - SUMO-car[20]: -138022926
OMNET-car[111] - SUMO-car[200]: 27782024#0
OMNET-car[112] - SUMO-car[201]: 27782024#0
OMNET-car[113] - SUMO-car[202]: 27782024#0
OMNET-car[114] - SUMO-car[203]: 27782024#0
OMNET-car[115] - SUMO-car[204]: 27782024#1
OMNET-car[116] - SUMO-car[205]: 27782024#1
OMNET-car[117] - SUMO-car[206]: 27782024#1
OMNET-car[118] - SUMO-car[207]: 27782024#1
OMNET-car[119] - SUMO-car[208]: 342452092#1
OMNET-car[120] - SUMO-car[209]: 342452092#1
OMNET-car[121] - SUMO-car[21]: -138022926
OMNET-car[122] - SUMO-car[210]: 342452092#1
OMNET-car[123] - SUMO-car[211]: 342452092#1
OMNET-car[124] - SUMO-car[212]: 342452096
OMNET-car[125] - SUMO-car[213]: 342452096
OMNET-car[126] - SUMO-car[214]: 342452096
OMNET-car[127] - SUMO-car[215]: 342452096
OMNET-car[128] - SUMO-car[216]: 344744211#0
OMNET-car[129] - SUMO-car[217]: 344744211#0
OMNET-car[130] - SUMO-car[218]: 344744211#0
OMNET-car[131] - SUMO-car[219]: 344744211#0
OMNET-car[132] - SUMO-car[22]: -138022926
OMNET-car[133] - SUMO-car[220]: 344744212#0
OMNET-car[134] - SUMO-car[221]: 344744212#0
OMNET-car[135] - SUMO-car[222]: 344744212#0
OMNET-car[136] - SUMO-car[223]: 344744212#0
OMNET-car[137] - SUMO-car[224]: 344744212#1
OMNET-car[138] - SUMO-car[225]: 344744212#1
OMNET-car[139] - SUMO-car[226]: 344744212#1
OMNET-car[140] - SUMO-car[227]: 344744212#1
OMNET-car[141] - SUMO-car[228]: 346319159
OMNET-car[142] - SUMO-car[229]: 346319159
OMNET-car[143] - SUMO-car[23]: -342452096
OMNET-car[144] - SUMO-car[230]: 346319159
OMNET-car[145] - SUMO-car[231]: 346319159
OMNET-car[146] - SUMO-car[232]: 371630999#0
OMNET-car[147] - SUMO-car[233]: 371630999#0
OMNET-car[148] - SUMO-car[234]: 371630999#0
OMNET-car[149] - SUMO-car[235]: 371630999#0
OMNET-car[150] - SUMO-car[236]: 371630999#3
OMNET-car[151] - SUMO-car[237]: 371630999#3
OMNET-car[152] - SUMO-car[238]: 371630999#3
OMNET-car[153] - SUMO-car[239]: 371630999#3
OMNET-car[154] - SUMO-car[24]: -342452096
OMNET-car[155] - SUMO-car[240]: 371630999#4
OMNET-car[156] - SUMO-car[241]: 371630999#4
OMNET-car[157] - SUMO-car[242]: 371630999#4
OMNET-car[158] - SUMO-car[243]: 371630999#4
OMNET-car[159] - SUMO-car[244]: 371630999#5
OMNET-car[160] - SUMO-car[245]: 371630999#5
OMNET-car[161] - SUMO-car[246]: 371630999#5
OMNET-car[162] - SUMO-car[247]: 371630999#5
OMNET-car[163] - SUMO-car[248]: 37464544
OMNET-car[164] - SUMO-car[249]: 37464544
OMNET-car[165] - SUMO-car[25]: -342452096
OMNET-car[166] - SUMO-car[250]: 37464544
OMNET-car[167] - SUMO-car[251]: 37464544
OMNET-car[168] - SUMO-car[252]: 37688113#0
OMNET-car[169] - SUMO-car[253]: 37688113#0
OMNET-car[170] - SUMO-car[254]: 37688113#0
OMNET-car[171] - SUMO-car[255]: 37688113#0
OMNET-car[172] - SUMO-car[256]: 37688113#1
OMNET-car[173] - SUMO-car[257]: 37688113#1
