OMNET-car[0] - SUMO-car[0]: -1236916919#2
OMNET-car[1] - SUMO-car[1]: -1307408463#1
OMNET-car[2] - SUMO-car[10]: -1308883069#1
OMNET-car[3] - SUMO-car[100]: 1307408463#0
OMNET-car[4] - SUMO-car[101]: 1307408463#0
OMNET-car[5] - SUMO-car[102]: 1307408463#2
OMNET-car[6] - SUMO-car[103]: 1307408463#2
OMNET-car[7] - SUMO-car[104]: 1307408463#3
OMNET-car[8] - SUMO-car[105]: 1307408463#3
OMNET-car[9] - SUMO-car[106]: 1307408464#0
OMNET-car[10] - SUMO-car[107]: 1307408464#0
OMNET-car[11] - SUMO-car[108]: 1308883061#1
OMNET-car[12] - SUMO-car[109]: 1308883061#1
OMNET-car[13] - SUMO-car[11]: -1308883069#2
OMNET-car[14] - SUMO-car[110]: 1308883069#0
OMNET-car[15] - SUMO-car[111]: 1308883069#0
OMNET-car[16] - SUMO-car[112]: 1308883069#2
OMNET-car[17] - SUMO-car[113]: 1308883069#2
OMNET-car[18] - SUMO-car[114]: 1308883069#3
OMNET-car[19] - SUMO-car[115]: 1308883069#3
OMNET-car[20] - SUMO-car[116]: 1308883069#4
OMNET-car[21] - SUMO-car[117]: 1308883069#4
OMNET-car[22] - SUMO-car[118]: 134206507
OMNET-car[23] - SUMO-car[119]: 134206507
OMNET-car[24] - SUMO-car[12]: -1308883069#2
OMNET-car[25] - SUMO-car[120]: 170397679#0
OMNET-car[26] - SUMO-car[121]: 170397682#0
OMNET-car[27] - SUMO-car[123]: 170397682#1
OMNET-car[28] - SUMO-car[125]: 170397682#2
OMNET-car[29] - SUMO-car[126]: 170397682#2
OMNET-car[30] - SUMO-car[127]: 170397682#5
OMNET-car[31] - SUMO-car[128]: 170397682#5
OMNET-car[32] - SUMO-car[129]: 170397682#6
OMNET-car[33] - SUMO-car[13]: -1308883069#3
OMNET-car[34] - SUMO-car[130]: 170397682#6
OMNET-car[35] - SUMO-car[131]: 189868533#1
OMNET-car[36] - SUMO-car[132]: 189868533#1
OMNET-car[37] - SUMO-car[133]: 189868533#3
OMNET-car[38] - SUMO-car[134]: 189868533#3
OMNET-car[39] - SUMO-car[135]: 189868533#4
OMNET-car[40] - SUMO-car[136]: 189868533#4
OMNET-car[41] - SUMO-car[137]: 23182314
OMNET-car[42] - SUMO-car[138]: 23182314
OMNET-car[43] - SUMO-car[139]: 23182340#0
OMNET-car[44] - SUMO-car[14]: -1308883069#3
OMNET-car[45] - SUMO-car[140]: 23182340#0
OMNET-car[46] - SUMO-car[141]: 23182365
OMNET-car[47] - SUMO-car[142]: 23182365
OMNET-car[48] - SUMO-car[143]: 23182379#1
OMNET-car[49] - SUMO-car[144]: 23182379#1
OMNET-car[50] - SUMO-car[145]: 262805402#1
OMNET-car[51] - SUMO-car[146]: 262805402#1
OMNET-car[52] - SUMO-car[147]: 262805402#3
OMNET-car[53] - SUMO-car[148]: 262805402#3
OMNET-car[54] - SUMO-car[149]: 262805402#4
OMNET-car[55] - SUMO-car[15]: -1308883069#5
OMNET-car[56] - SUMO-car[150]: 262805402#4
OMNET-car[57] - SUMO-car[151]: 26540080#1
OMNET-car[58] - SUMO-car[152]: 26540080#1
OMNET-car[59] - SUMO-car[153]: 26540081#2
OMNET-car[60] - SUMO-car[154]: 26540081#2
OMNET-car[61] - SUMO-car[155]: 26540081#3
OMNET-car[62] - SUMO-car[156]: 26540081#3
OMNET-car[63] - SUMO-car[157]: 27778904
OMNET-car[64] - SUMO-car[158]: 27778904
OMNET-car[65] - SUMO-car[159]: 27781167#1
OMNET-car[66] - SUMO-car[16]: -1308883069#5
OMNET-car[67] - SUMO-car[160]: 27781167#1
OMNET-car[68] - SUMO-car[161]: 27781167#2
OMNET-car[69] - SUMO-car[162]: 27781167#2
OMNET-car[70] - SUMO-car[163]: 27781230
OMNET-car[71] - SUMO-car[164]: 27781230
OMNET-car[72] - SUMO-car[165]: 27781315#3
OMNET-car[73] - SUMO-car[166]: 27781315#3
OMNET-car[74] - SUMO-car[167]: 27781803#3
OMNET-car[75] - SUMO-car[168]: 27781803#3
OMNET-car[76] - SUMO-car[169]: 27781803#4
OMNET-car[77] - SUMO-car[17]: -170397679#1
OMNET-car[78] - SUMO-car[170]: 27781803#4
OMNET-car[79] - SUMO-car[171]: 27781803#5
OMNET-car[80] - SUMO-car[172]: 27781803#5
OMNET-car[81] - SUMO-car[173]: 27781803#6
OMNET-car[82] - SUMO-car[174]: 27781803#6
OMNET-car[83] - SUMO-car[175]: 27781803#7
OMNET-car[84] - SUMO-car[176]: 27781803#7
OMNET-car[85] - SUMO-car[177]: 27781803#8
OMNET-car[86] - SUMO-car[178]: 27781803#8
OMNET-car[87] - SUMO-car[179]: 27781824#0
OMNET-car[88] - SUMO-car[18]: -353164584
OMNET-car[89] - SUMO-car[180]: 27781824#0
OMNET-car[90] - SUMO-car[181]: 27781824#1
OMNET-car[91] - SUMO-car[182]: 27781824#1
OMNET-car[92] - SUMO-car[183]: 27781824#2
OMNET-car[93] - SUMO-car[184]: 27781824#2
OMNET-car[94] - SUMO-car[185]: 27781824#3
OMNET-car[95] - SUMO-car[186]: 27781824#3
OMNET-car[96] - SUMO-car[187]: 27781843#0
OMNET-car[97] - SUMO-car[188]: 27781843#0
OMNET-car[98] - SUMO-car[189]: 27781843#1
OMNET-car[99] - SUMO-car[19]: -353164584
